name,age,created_at,profile,tags
Wayne Riley,26,2024-11-07 21:39:54,"{""user"": {""details"": {""contact"": {""email"": ""brian97@calhoun.net"", ""phone"": ""219-136-1939"", ""preferences"": {""notifications"": true, ""themes"": [""solarized"", ""dark""], ""history"": [{""action"": ""logout"", ""timestamp"": ""2010-06-16T20:29:31""}, {""action"": ""signup"", ""timestamp"": ""1972-09-14T18:49:35""}, {""action"": ""purchase"", ""timestamp"": ""2012-02-24T19:27:46""}]}}}}}","[""guest""]"
Matthew Cunningham,49,2024-08-12 04:49:12,"{""user"": {""details"": {""contact"": {""email"": ""elizabethedwards@yahoo.com"", ""phone"": ""(247)510-7991x1838"", ""preferences"": {""notifications"": true, ""themes"": [""light""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1988-01-18T14:12:39""}]}}}}}","[""subscriber"", ""guest"", ""admin""]"
Gregory Jones,42,2024-07-15 04:56:06,"{""user"": {""details"": {""contact"": {""email"": ""eric84@hotmail.com"", ""phone"": ""+1-808-412-4118x2449"", ""preferences"": {""notifications"": false, ""themes"": [""solarized"", ""dark""], ""history"": [{""action"": ""login"", ""timestamp"": ""1984-05-02T05:28:54""}, {""action"": ""login"", ""timestamp"": ""2018-11-01T08:20:35""}, {""action"": ""signup"", ""timestamp"": ""1993-05-02T08:03:33""}]}}}}}","[""user"", ""admin"", ""early_access""]"
Mark Baker,45,2024-10-18 01:29:10,"{""user"": {""details"": {""contact"": {""email"": ""davisrodney@yahoo.com"", ""phone"": ""0524278680"", ""preferences"": {""notifications"": true, ""themes"": [""light"", ""dark""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1977-08-12T15:22:12""}, {""action"": ""login"", ""timestamp"": ""1975-02-14T04:42:24""}, {""action"": ""signup"", ""timestamp"": ""2017-01-09T09:15:32""}]}}}}}","[""guest"", ""early_access"", ""tester""]"
Kimberly Davenport,27,2024-11-23 13:25:19,"{""user"": {""details"": {""contact"": {""email"": ""tanderson@nolan-flynn.com"", ""phone"": ""(331)586-9232x260"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""login"", ""timestamp"": ""1982-03-17T00:48:09""}, {""action"": ""signup"", ""timestamp"": ""2020-02-15T09:49:08""}, {""action"": ""logout"", ""timestamp"": ""1992-08-09T12:20:51""}]}}}}}","[""admin""]"
Jennifer Santiago,41,2025-01-21 19:16:20,"{""user"": {""details"": {""contact"": {""email"": ""erik16@garrison.com"", ""phone"": ""543.303.6541x458"", ""preferences"": {""notifications"": false, ""themes"": [""light""], ""history"": [{""action"": ""login"", ""timestamp"": ""1997-03-14T01:26:39""}]}}}}}","[""beta""]"
Sarah Rivera,49,2024-04-22 01:17:42,"{""user"": {""details"": {""contact"": {""email"": ""gregory40@carlson.com"", ""phone"": ""(981)693-4060x88356"", ""preferences"": {""notifications"": true, ""themes"": [""light""], ""history"": [{""action"": ""logout"", ""timestamp"": ""1974-10-06T05:00:05""}, {""action"": ""purchase"", ""timestamp"": ""2015-03-15T17:12:42""}, {""action"": ""signup"", ""timestamp"": ""1992-06-21T03:59:35""}]}}}}}","[""early_access"", ""guest"", ""subscriber""]"
Mary Martinez,31,2025-03-26 21:05:02,"{""user"": {""details"": {""contact"": {""email"": ""elizabeth56@hotmail.com"", ""phone"": ""823-662-9946x8044"", ""preferences"": {""notifications"": true, ""themes"": [""dark"", ""solarized""], ""history"": [{""action"": ""logout"", ""timestamp"": ""1984-04-21T02:51:12""}, {""action"": ""login"", ""timestamp"": ""1999-04-03T22:16:04""}]}}}}}","[""tester""]"
Lisa Morris,22,2024-09-29 21:47:00,"{""user"": {""details"": {""contact"": {""email"": ""williamleon@hotmail.com"", ""phone"": ""(148)951-3433"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1980-01-11T12:03:49""}, {""action"": ""purchase"", ""timestamp"": ""1971-08-31T02:18:47""}, {""action"": ""login"", ""timestamp"": ""1973-02-22T15:33:28""}]}}}}}","[""beta""]"
John Atkinson,58,2024-05-09 14:50:51,"{""user"": {""details"": {""contact"": {""email"": ""kmercado@gmail.com"", ""phone"": ""001-676-320-1632x870"", ""preferences"": {""notifications"": true, ""themes"": [""light""], ""history"": [{""action"": ""signup"", ""timestamp"": ""2007-12-07T09:30:36""}]}}}}}","[""guest""]"
Ryan Bryant,33,2025-02-16 13:47:00,"{""user"": {""details"": {""contact"": {""email"": ""stephanie79@hotmail.com"", ""phone"": ""687.277.4348x73471"", ""preferences"": {""notifications"": false, ""themes"": [""light"", ""solarized""], ""history"": [{""action"": ""logout"", ""timestamp"": ""2018-07-23T06:05:33""}, {""action"": ""purchase"", ""timestamp"": ""1989-06-11T19:28:56""}, {""action"": ""logout"", ""timestamp"": ""1985-12-16T08:52:10""}]}}}}}","[""tester"", ""admin""]"
Francisco Fernandez,24,2024-06-04 01:46:45,"{""user"": {""details"": {""contact"": {""email"": ""patrickhernandez@brown.com"", ""phone"": ""+1-760-366-9096"", ""preferences"": {""notifications"": false, ""themes"": [""dark"", ""solarized""], ""history"": [{""action"": ""login"", ""timestamp"": ""2002-06-17T09:29:39""}, {""action"": ""login"", ""timestamp"": ""1970-05-27T13:08:50""}]}}}}}","[""subscriber""]"
Elizabeth Price,64,2025-03-23 14:44:27,"{""user"": {""details"": {""contact"": {""email"": ""tracynelson@yahoo.com"", ""phone"": ""6562729806"", ""preferences"": {""notifications"": false, ""themes"": [""light""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""2010-04-12T13:47:40""}]}}}}}","[""subscriber"", ""tester"", ""early_access""]"
Alyssa Day,29,2024-06-03 00:51:01,"{""user"": {""details"": {""contact"": {""email"": ""brentgray@gmail.com"", ""phone"": ""556.464.1708x053"", ""preferences"": {""notifications"": false, ""themes"": [""light"", ""solarized""], ""history"": [{""action"": ""login"", ""timestamp"": ""2014-03-30T10:03:39""}, {""action"": ""login"", ""timestamp"": ""1974-09-02T12:27:08""}]}}}}}","[""guest"", ""admin"", ""beta""]"
Marissa Webster,66,2024-07-16 08:53:12,"{""user"": {""details"": {""contact"": {""email"": ""howelljohn@caldwell-elliott.com"", ""phone"": ""452.991.2419x049"", ""preferences"": {""notifications"": true, ""themes"": [""dark""], ""history"": [{""action"": ""logout"", ""timestamp"": ""2016-02-04T13:23:42""}, {""action"": ""purchase"", ""timestamp"": ""1995-07-17T07:19:16""}]}}}}}","[""admin"", ""tester""]"
Miguel Jones,42,2025-01-04 13:01:56,"{""user"": {""details"": {""contact"": {""email"": ""terrykevin@burke.com"", ""phone"": ""(865)185-0671x657"", ""preferences"": {""notifications"": true, ""themes"": [""dark"", ""solarized""], ""history"": [{""action"": ""logout"", ""timestamp"": ""2018-02-18T06:02:36""}, {""action"": ""logout"", ""timestamp"": ""1980-05-30T14:46:31""}]}}}}}","[""tester""]"
Nicholas Sheppard,36,2024-07-25 05:23:23,"{""user"": {""details"": {""contact"": {""email"": ""ugraham@hotmail.com"", ""phone"": ""531-473-7996x507"", ""preferences"": {""notifications"": true, ""themes"": [""solarized""], ""history"": [{""action"": ""login"", ""timestamp"": ""1992-02-13T06:30:11""}, {""action"": ""signup"", ""timestamp"": ""1982-05-17T15:41:55""}, {""action"": ""login"", ""timestamp"": ""2003-03-07T02:51:58""}]}}}}}","[""guest""]"
Robert Peterson,48,2025-03-19 05:12:58,"{""user"": {""details"": {""contact"": {""email"": ""blackjames@gmail.com"", ""phone"": ""001-678-377-7014x3634"", ""preferences"": {""notifications"": true, ""themes"": [""solarized""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""2015-03-08T19:34:49""}]}}}}}","[""guest""]"
Kara Schmidt,22,2024-09-23 14:01:20,"{""user"": {""details"": {""contact"": {""email"": ""jacqueline44@yahoo.com"", ""phone"": ""135.182.3374"", ""preferences"": {""notifications"": true, ""themes"": [""light"", ""solarized""], ""history"": [{""action"": ""login"", ""timestamp"": ""2019-04-23T15:47:13""}, {""action"": ""login"", ""timestamp"": ""2010-02-14T06:17:15""}, {""action"": ""logout"", ""timestamp"": ""2021-09-25T01:40:22""}]}}}}}","[""guest"", ""early_access"", ""beta""]"
Diane Garcia,38,2024-06-25 17:20:47,"{""user"": {""details"": {""contact"": {""email"": ""michaelturner@hotmail.com"", ""phone"": ""+1-240-084-2710"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""signup"", ""timestamp"": ""2009-01-24T10:38:53""}, {""action"": ""purchase"", ""timestamp"": ""1989-05-08T07:00:56""}, {""action"": ""signup"", ""timestamp"": ""2001-12-10T22:10:56""}]}}}}}","[""tester"", ""beta""]"
Glen Sheppard,59,2024-07-18 09:18:30,"{""user"": {""details"": {""contact"": {""email"": ""shortrichard@gmail.com"", ""phone"": ""001-022-941-3186"", ""preferences"": {""notifications"": false, ""themes"": [""dark"", ""light""], ""history"": [{""action"": ""logout"", ""timestamp"": ""2011-04-06T02:33:57""}]}}}}}","[""guest"", ""admin"", ""beta""]"
Lisa Rowe,52,2024-09-06 01:25:10,"{""user"": {""details"": {""contact"": {""email"": ""levans@yahoo.com"", ""phone"": ""990-913-3412x3281"", ""preferences"": {""notifications"": true, ""themes"": [""light"", ""dark""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1980-08-26T15:20:45""}]}}}}}","[""user"", ""tester""]"
Jerry Wheeler,46,2024-08-02 10:46:22,"{""user"": {""details"": {""contact"": {""email"": ""keithcampbell@jones-hall.com"", ""phone"": ""+1-936-183-2421x0249"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""signup"", ""timestamp"": ""2020-12-19T10:41:03""}, {""action"": ""login"", ""timestamp"": ""2008-09-25T17:13:43""}, {""action"": ""purchase"", ""timestamp"": ""1989-08-22T10:55:26""}]}}}}}","[""admin"", ""early_access""]"
John Torres,65,2024-09-14 15:41:26,"{""user"": {""details"": {""contact"": {""email"": ""mkim@gmail.com"", ""phone"": ""(594)013-9904x90278"", ""preferences"": {""notifications"": true, ""themes"": [""dark"", ""light""], ""history"": [{""action"": ""signup"", ""timestamp"": ""2014-05-03T08:33:03""}, {""action"": ""purchase"", ""timestamp"": ""2000-02-04T16:06:40""}, {""action"": ""signup"", ""timestamp"": ""1988-12-05T14:51:40""}]}}}}}","[""subscriber"", ""user"", ""admin""]"
Kevin Walters,23,2024-10-19 07:15:21,"{""user"": {""details"": {""contact"": {""email"": ""vbailey@santiago-hodge.com"", ""phone"": ""(746)807-1545x16808"", ""preferences"": {""notifications"": false, ""themes"": [""light"", ""solarized""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""2001-06-09T11:37:34""}, {""action"": ""signup"", ""timestamp"": ""1998-02-14T07:46:49""}]}}}}}","[""beta""]"
Joseph Dean,46,2024-10-21 22:19:54,"{""user"": {""details"": {""contact"": {""email"": ""harrisandrea@yahoo.com"", ""phone"": ""710.932.4808x613"", ""preferences"": {""notifications"": false, ""themes"": [""light""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1977-09-21T02:11:42""}]}}}}}","[""admin"", ""user"", ""guest""]"
Bruce Collier,53,2024-10-21 21:14:08,"{""user"": {""details"": {""contact"": {""email"": ""robert77@gmail.com"", ""phone"": ""826.398.2146x584"", ""preferences"": {""notifications"": true, ""themes"": [""light"", ""solarized""], ""history"": [{""action"": ""signup"", ""timestamp"": ""1970-03-05T18:14:12""}, {""action"": ""login"", ""timestamp"": ""1989-04-01T00:01:32""}]}}}}}","[""tester"", ""beta""]"
Sara Carpenter,33,2024-12-23 15:07:59,"{""user"": {""details"": {""contact"": {""email"": ""seanwashington@yahoo.com"", ""phone"": ""+1-867-533-9636"", ""preferences"": {""notifications"": true, ""themes"": [""solarized"", ""dark""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1972-12-20T20:37:41""}, {""action"": ""purchase"", ""timestamp"": ""1991-08-27T07:34:20""}, {""action"": ""purchase"", ""timestamp"": ""2020-09-04T17:55:36""}]}}}}}","[""subscriber""]"
Thomas James,19,2024-12-25 02:04:03,"{""user"": {""details"": {""contact"": {""email"": ""ihanna@sanford.info"", ""phone"": ""870-262-1745"", ""preferences"": {""notifications"": true, ""themes"": [""dark"", ""light""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""2012-05-31T04:42:51""}, {""action"": ""login"", ""timestamp"": ""2017-02-20T06:23:26""}]}}}}}","[""early_access"", ""admin""]"
Bobby Murphy,48,2024-12-29 05:30:24,"{""user"": {""details"": {""contact"": {""email"": ""courtney78@gmail.com"", ""phone"": ""+1-134-316-1172x400"", ""preferences"": {""notifications"": true, ""themes"": [""dark""], ""history"": [{""action"": ""signup"", ""timestamp"": ""1992-01-28T09:01:35""}, {""action"": ""purchase"", ""timestamp"": ""2024-03-06T06:04:41""}]}}}}}","[""admin""]"
Ian Jordan,60,2024-07-15 04:07:28,"{""user"": {""details"": {""contact"": {""email"": ""georgemiller@yahoo.com"", ""phone"": ""+1-379-237-4740x748"", ""preferences"": {""notifications"": true, ""themes"": [""dark"", ""solarized""], ""history"": [{""action"": ""signup"", ""timestamp"": ""1980-10-01T12:07:53""}]}}}}}","[""beta"", ""guest""]"
Tony Huerta,43,2024-08-05 12:21:32,"{""user"": {""details"": {""contact"": {""email"": ""stephen43@yahoo.com"", ""phone"": ""136.959.4406x4090"", ""preferences"": {""notifications"": false, ""themes"": [""light""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""2011-04-08T07:33:50""}, {""action"": ""signup"", ""timestamp"": ""2020-09-16T08:30:19""}]}}}}}","[""admin""]"
Tanner Mitchell DDS,56,2024-12-03 02:17:43,"{""user"": {""details"": {""contact"": {""email"": ""danaoliver@hotmail.com"", ""phone"": ""001-210-470-9521x45623"", ""preferences"": {""notifications"": false, ""themes"": [""solarized"", ""dark""], ""history"": [{""action"": ""login"", ""timestamp"": ""1978-12-29T20:23:20""}, {""action"": ""logout"", ""timestamp"": ""2023-07-10T21:10:07""}]}}}}}","[""tester"", ""user"", ""admin""]"
Valerie Schmidt,63,2025-04-01 02:21:18,"{""user"": {""details"": {""contact"": {""email"": ""jonathansummers@yahoo.com"", ""phone"": ""517-123-6851x6048"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1978-05-30T19:33:08""}, {""action"": ""signup"", ""timestamp"": ""2000-12-12T18:26:03""}, {""action"": ""logout"", ""timestamp"": ""1995-01-31T05:54:38""}]}}}}}","[""beta""]"
Megan Richards,39,2025-02-24 17:31:27,"{""user"": {""details"": {""contact"": {""email"": ""leonardthomas@hotmail.com"", ""phone"": ""+1-593-174-6120"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""signup"", ""timestamp"": ""1972-07-13T21:53:57""}, {""action"": ""logout"", ""timestamp"": ""1990-09-18T00:32:34""}]}}}}}","[""subscriber"", ""beta""]"
Audrey Young DDS,36,2024-09-09 06:28:52,"{""user"": {""details"": {""contact"": {""email"": ""ellen86@hotmail.com"", ""phone"": ""001-261-796-4053x7735"", ""preferences"": {""notifications"": true, ""themes"": [""dark""], ""history"": [{""action"": ""logout"", ""timestamp"": ""1976-10-05T11:20:29""}, {""action"": ""purchase"", ""timestamp"": ""2016-08-29T16:12:38""}, {""action"": ""signup"", ""timestamp"": ""1994-12-31T03:50:15""}]}}}}}","[""guest"", ""admin""]"
Vanessa Howard,37,2024-09-12 22:58:11,"{""user"": {""details"": {""contact"": {""email"": ""tammyrush@yahoo.com"", ""phone"": ""390-053-2931"", ""preferences"": {""notifications"": false, ""themes"": [""dark""], ""history"": [{""action"": ""signup"", ""timestamp"": ""2022-01-26T02:09:06""}, {""action"": ""logout"", ""timestamp"": ""2007-09-18T21:49:21""}, {""action"": ""logout"", ""timestamp"": ""1984-02-05T22:11:04""}]}}}}}","[""beta"", ""tester""]"
Robin Hall,50,2025-02-06 01:40:39,"{""user"": {""details"": {""contact"": {""email"": ""ramireztracey@fernandez.com"", ""phone"": ""+1-020-539-5024x02681"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""signup"", ""timestamp"": ""2020-09-28T14:39:56""}]}}}}}","[""beta"", ""early_access"", ""guest""]"
Jerome Cox,39,2024-11-27 21:24:28,"{""user"": {""details"": {""contact"": {""email"": ""ngordon@acosta.net"", ""phone"": ""700-766-1771x1592"", ""preferences"": {""notifications"": true, ""themes"": [""solarized""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1974-06-21T12:58:48""}, {""action"": ""purchase"", ""timestamp"": ""1978-08-03T12:12:54""}]}}}}}","[""admin""]"
Mark Kelley,20,2024-08-15 14:59:14,"{""user"": {""details"": {""contact"": {""email"": ""shawn96@gmail.com"", ""phone"": ""001-183-673-6576x615"", ""preferences"": {""notifications"": true, ""themes"": [""solarized"", ""light""], ""history"": [{""action"": ""logout"", ""timestamp"": ""1999-01-16T06:38:50""}, {""action"": ""purchase"", ""timestamp"": ""1991-04-08T19:34:21""}]}}}}}","[""beta"", ""subscriber"", ""early_access""]"
Jacqueline Hernandez,43,2025-04-04 18:53:00,"{""user"": {""details"": {""contact"": {""email"": ""davischristopher@yahoo.com"", ""phone"": ""528-098-8516"", ""preferences"": {""notifications"": true, ""themes"": [""solarized""], ""history"": [{""action"": ""login"", ""timestamp"": ""1994-01-23T17:28:08""}, {""action"": ""login"", ""timestamp"": ""2015-04-12T03:04:46""}, {""action"": ""logout"", ""timestamp"": ""2021-01-21T09:59:27""}]}}}}}","[""tester""]"
Thomas Williams,69,2024-08-01 00:56:23,"{""user"": {""details"": {""contact"": {""email"": ""dale83@gmail.com"", ""phone"": ""+1-731-585-1493x68998"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""login"", ""timestamp"": ""1971-10-15T13:01:12""}]}}}}}","[""tester"", ""subscriber""]"
Mary Steele,60,2024-04-22 13:54:09,"{""user"": {""details"": {""contact"": {""email"": ""jacqueline45@smith-kane.org"", ""phone"": ""+1-612-018-3667x52545"", ""preferences"": {""notifications"": false, ""themes"": [""solarized"", ""dark""], ""history"": [{""action"": ""logout"", ""timestamp"": ""2022-11-12T08:29:44""}, {""action"": ""purchase"", ""timestamp"": ""2008-08-16T14:44:39""}, {""action"": ""logout"", ""timestamp"": ""2010-07-29T05:20:14""}]}}}}}","[""user"", ""tester""]"
Anthony Moore,58,2024-12-07 06:42:31,"{""user"": {""details"": {""contact"": {""email"": ""nelsonebony@lawson-perry.com"", ""phone"": ""001-815-614-9784x03690"", ""preferences"": {""notifications"": false, ""themes"": [""solarized"", ""light""], ""history"": [{""action"": ""logout"", ""timestamp"": ""1970-07-11T01:31:34""}, {""action"": ""login"", ""timestamp"": ""1983-11-29T23:08:43""}]}}}}}","[""user"", ""tester"", ""early_access""]"
Daniel Taylor,39,2024-07-19 13:39:13,"{""user"": {""details"": {""contact"": {""email"": ""david76@gmail.com"", ""phone"": ""(683)885-1606"", ""preferences"": {""notifications"": false, ""themes"": [""light""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1971-04-11T19:45:51""}]}}}}}","[""beta"", ""tester""]"
Blake Edwards,63,2024-09-25 01:15:32,"{""user"": {""details"": {""contact"": {""email"": ""zroberts@gmail.com"", ""phone"": ""297-516-1369x68164"", ""preferences"": {""notifications"": true, ""themes"": [""dark""], ""history"": [{""action"": ""signup"", ""timestamp"": ""2020-10-02T01:54:35""}, {""action"": ""logout"", ""timestamp"": ""1993-02-07T15:33:45""}]}}}}}","[""admin"", ""tester""]"
Richard Jones,44,2024-12-13 06:07:16,"{""user"": {""details"": {""contact"": {""email"": ""rebeccabailey@mullen.com"", ""phone"": ""(432)921-2779"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""logout"", ""timestamp"": ""2021-09-16T20:22:27""}, {""action"": ""login"", ""timestamp"": ""2009-06-07T18:10:47""}]}}}}}","[""user"", ""subscriber""]"
Thomas Cunningham,44,2024-12-14 01:26:56,"{""user"": {""details"": {""contact"": {""email"": ""edward17@yahoo.com"", ""phone"": ""+1-449-058-1477x0054"", ""preferences"": {""notifications"": true, ""themes"": [""light"", ""dark""], ""history"": [{""action"": ""logout"", ""timestamp"": ""1975-03-23T03:49:29""}, {""action"": ""login"", ""timestamp"": ""2013-11-14T06:31:38""}]}}}}}","[""user"", ""beta""]"
Savannah Gilbert,61,2024-10-25 06:15:14,"{""user"": {""details"": {""contact"": {""email"": ""ycarpenter@hotmail.com"", ""phone"": ""7935978207"", ""preferences"": {""notifications"": false, ""themes"": [""dark""], ""history"": [{""action"": ""login"", ""timestamp"": ""1977-01-16T13:16:29""}]}}}}}","[""guest"", ""early_access""]"
Sara Haas,60,2024-05-14 02:02:38,"{""user"": {""details"": {""contact"": {""email"": ""wrightsamuel@warren-bishop.com"", ""phone"": ""(466)590-5151x864"", ""preferences"": {""notifications"": true, ""themes"": [""solarized""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1987-02-24T09:20:28""}, {""action"": ""logout"", ""timestamp"": ""2019-04-02T11:56:23""}]}}}}}","[""admin""]"
Tracey Morrison,34,2024-06-08 17:37:13,"{""user"": {""details"": {""contact"": {""email"": ""aguilardonald@yahoo.com"", ""phone"": ""629-148-6528x1685"", ""preferences"": {""notifications"": false, ""themes"": [""light"", ""dark""], ""history"": [{""action"": ""signup"", ""timestamp"": ""1971-03-30T02:56:27""}, {""action"": ""logout"", ""timestamp"": ""1994-09-04T09:56:04""}]}}}}}","[""early_access"", ""subscriber""]"
Trevor Peterson,34,2025-02-02 21:07:58,"{""user"": {""details"": {""contact"": {""email"": ""jeremytaylor@gmail.com"", ""phone"": ""188-805-9296x2229"", ""preferences"": {""notifications"": true, ""themes"": [""light"", ""solarized""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""2025-01-20T21:22:37""}, {""action"": ""login"", ""timestamp"": ""1981-04-07T11:57:29""}]}}}}}","[""admin"", ""early_access"", ""tester""]"
Amanda Diaz,30,2025-01-15 19:03:50,"{""user"": {""details"": {""contact"": {""email"": ""wbishop@bowers.info"", ""phone"": ""597.746.8862"", ""preferences"": {""notifications"": true, ""themes"": [""light""], ""history"": [{""action"": ""logout"", ""timestamp"": ""1983-08-04T12:20:13""}]}}}}}","[""admin"", ""guest"", ""tester""]"
Brenda Wright,47,2024-12-16 08:15:40,"{""user"": {""details"": {""contact"": {""email"": ""angela18@gmail.com"", ""phone"": ""124-782-6137x5060"", ""preferences"": {""notifications"": false, ""themes"": [""light"", ""solarized""], ""history"": [{""action"": ""signup"", ""timestamp"": ""1996-12-23T22:00:04""}]}}}}}","[""guest""]"
Cynthia Vang,19,2024-09-03 22:28:43,"{""user"": {""details"": {""contact"": {""email"": ""florescory@santos.com"", ""phone"": ""277.901.0432x8986"", ""preferences"": {""notifications"": false, ""themes"": [""dark"", ""light""], ""history"": [{""action"": ""purchase"", ""timestamp"": ""1977-07-26T13:32:43""}]}}}}}","[""beta""]"
Cynthia Martinez,67,2024-07-12 22:27:24,"{""user"": {""details"": {""contact"": {""email"": ""fbrown@hotmail.com"", ""phone"": ""+1-089-324-6095"", ""preferences"": {""notifications"": false, ""themes"": [""solarized""], ""history"": [{""action"": ""signup"", ""timestamp"": ""1986-05-16T06:09:35""}]}}}}}","[""subscriber"", ""beta"", ""user""]"
Chelsea Barnett,22,2024-10-31 15:16:08,"{""user"": {""details"": {""contact"": {""email"": ""ashleyamy@hotmail.com"", ""phone"": ""+1-067-065-4051"", ""preferences"": {""notifications"": false, ""themes"": [""dark""], ""history"": [{""action"": ""login"", ""timestamp"": ""1993-06-19T02:42:06""}, {""action"": ""logout"", ""timestamp"": ""1986-05-30T05:12:52""}]}}}}}","[""beta"", ""subscriber""]"
